Latitude,Longitude,Grain yield (kg/ha@12.5%)
-3.2225,37.1316,7079.191264
-4.2543,35.7062,7077.481131
-9.4065,34.8084,7072.894737
-9.2906,34.6362,7046.768081
-8.2742,35.0454,7046.463696
-3.2274,37.0419,6954.489592
-4.4727,35.5474,6922.087809
-10.5436,35.3428,6905.389655
-3.4331,35.6347,6904.703498
-9.1773,32.7017,6861.981538
-10.5723,35.3956,6787.818452
-3.4383,35.6295,6779.95297
-3.1905,37.0773,6772.317011
-3.8397,35.4436,6735.067384
-3.3844,36.3195,6719.776227
-10.5759,35.3957,6648.917053
-7.6939,31.1140,6636.698901
-3.3576,36.3257,6622.157569
-4.4717,35.5479,6610.11807
-9.1996,32.7360,6604.5
-3.2281,37.0437,6595.754886
-3.4432,37.4026,6548.036953
-10.5431,35.3556,6533.186726
-7.6149,35.9541,6490.656142
-4.4531,35.5067,6486.718181
-4.2520,35.7050,6465.893516
-3.3783,36.9371,6456.725783
-3.3185,35.7170,6426.783365
-3.3842,36.9363,6376.364389
-3.2346,37.0823,6356.541315
-9.1687,32.7373,6355.79749
-3.4053,35.6016,6348.42233
-3.2464,37.1200,6304.46999
-10.5697,35.3920,6304.2
-3.3622,36.3227,6273.36226
-8.2703,35.0460,6238.828613
-10.5714,35.3950,6235.860849
-3.2224,37.1293,6229.951753
-10.4504,36.1744,6201.842772
-10.5715,35.3828,6176.138313
-3.2222,37.1317,6164.981185
-9.3891,34.7708,6144.438462
-3.3605,36.3220,6132.744709
-8.2727,35.0470,6121.344826
-8.3388,35.0613,6121.005902
-7.6937,31.1095,6095.698177
-9.4065,34.8087,6090.031603
-3.2223,37.1318,6076.354725
-8.2726,35.0478,6073.345934
-3.2363,37.0798,6041.364841
-3.2224,37.1296,6022.020956
-10.5741,35.3856,5990.440909
-3.2355,37.0874,5962.651395
-3.2357,37.0874,5954.099035
-3.4445,37.4047,5951.928943
-10.5749,35.3826,5908.19425
-7.7623,31.1445,5896.848774
-7.7294,31.0986,5891.713696
-3.2462,37.1199,5868.247994
-3.4055,35.6012,5847.064999
-3.3794,36.9368,5839.80916
-3.8465,35.4532,5819.954072
-7.7620,31.1444,5810.335265
-3.3789,36.9364,5794.811154
-8.5561,32.0520,5788.161045
-8.8416,32.9914,5779.166339
-3.4700,37.4232,5757.647849
-10.4487,36.1796,5754.048566
-10.5742,35.3845,5749.230423
-9.2684,34.6015,5747.096019
-3.4353,35.6308,5742.866105
-3.2229,37.1300,5741.594567
-8.2788,35.0406,5714.913559
-4.2088,35.5619,5698.898745
-3.2474,37.1228,5682.272069
-3.4350,35.6310,5650.909052
-8.2769,35.0456,5625.490262
-3.3202,35.7174,5618.365393
-7.7291,31.0988,5615.461165
-3.2382,37.1409,5599.147243
-7.6928,31.1166,5580.132336
-4.2543,35.7067,5574.99079
-3.2286,37.0428,5573.689608
-10.5752,35.3827,5568.69
-3.4479,37.4049,5551.544641
-3.2234,37.1300,5551.347046
-4.4547,35.5057,5535.891321
-3.2395,37.1410,5521.718694
-8.2742,35.0451,5488.479013
-3.4827,37.4516,5482.047609
-6.9,35.1,7556.234698
-3.4345,35.6311,5469.897822
-10.5743,35.3854,5456.827134
-3.2231,37.1299,5453.509256
-3.3227,35.7154,5430.390079
-10.4114,36.1436,5417.222222
-3.3205,35.7171,5415.944539
-3.1883,37.0759,5349.597202
-3.1918,37.0802,5301.781355
-3.3192,35.7159,5299.510329
-4.2504,35.7061,5297.908741
-3.3820,36.9353,5292.739733
-7.6928,31.1125,5263.064413
-3.1910,37.0791,5256.168447
-3.3184,35.7167,5229.441093
-3.2222,37.1319,5204.840074
-3.1915,37.0781,5196.572942
-3.4431,37.4027,5181.250426
-9.1690,32.7135,5160.666501
-3.3817,36.3198,5157.791452
-3.4828,37.4515,5156.155927
-10.4160,36.1454,5135.197166
-3.1920,37.0799,5102.831553
-7.7291,31.0907,5097.522296
-4.4544,35.5057,5086.052978
-7.7690,31.1363,5065.729464
-3.4444,37.4044,5039.459168
-9.2037,32.7378,5033.6
-3.3193,35.7170,5013.874008
-9.1679,32.7166,4986.089758
-3.4383,35.6293,4984.072144
-3.1892,37.0759,4977.377375
-10.4145,36.1467,4949.863799
-3.1881,37.0756,4949.055878
-8.2771,35.0452,4944.389359
-10.5714,35.3826,4942.124047
-3.2384,37.1411,4935.58717
-10.5750,35.3826,4934.461538
-9.3937,34.7690,4933.937037
-9.1680,32.7168,4923.5572
-8.3385,35.0612,4913.676176
-3.2279,37.0418,4913.54665
-3.3790,36.9375,4904.467527
-3.2221,37.1317,4897.109612
-3.1911,37.0781,4893.976987
-4.4535,35.5077,4885.711373
-10.4109,36.1430,4882.236393
-3.4709,37.4254,4881.774268
-3.3623,35.6132,4877.906088
-3.2362,37.0801,4869.951436
-3.4829,37.4513,4860.196714
-8.5558,32.0514,4853.051768
-3.2349,37.0821,4845.975234
-3.1883,37.0758,4845.763983
-8.2719,35.0482,4842.964225
-3.2279,37.0398,4836.772428
-8.5247,32.0317,4836.438486
-7.7692,31.1363,4836.363636
-9.1680,32.7170,4803.677083
-3.2358,37.0873,4800.996838
-3.4729,37.4216,4788.928327
-8.2785,35.0402,4785.971828
-3.1922,37.0751,4773.452506
-10.4112,36.1433,4773.401797
-3.3219,35.7151,4768.153676
-9.1675,32.7151,4763.649317
-10.5724,35.3952,4752.058824
-9.1991,32.7359,4751.345455
-8.3387,35.0613,4740.607568
-3.4337,35.6341,4736.935393
-3.8474,35.4729,4708.6387
-3.8385,35.4527,4690.821782
-3.2506,37.1159,4670.799254
-3.8556,35.4757,4655.945322
-4.4527,35.5056,4653.214176
-10.5745,35.3827,4641.410256
-3.2221,37.1318,4626.834658
-3.3825,36.9381,4622.782164
-10.4088,36.1429,4604.700483
-3.8532,35.4691,4595.991706
-3.2506,37.1157,4574.120417
-3.1909,37.0771,4548.547225
-3.2286,37.0410,4513.669008
-3.2234,37.1302,4504.443507
-3.2308,37.0453,4483.90471
-8.2942,35.0166,4470.700914
-4.4532,35.5056,4465.350031
-3.8455,35.4497,4462.087011
-4.4528,35.5056,4433.995419
-3.4734,37.4215,4425.394872
-3.8505,35.4699,4413.7036
-3.3787,36.9362,4405.332375
-3.2305,37.0436,4367.131941
-4.2503,35.7069,4361.230384
-10.5754,35.3952,4334.999177
-3.4699,37.4217,4318.032966
-10.5696,35.3847,4316.408333
-8.5202,32.0258,4305.584889
-3.2306,37.0432,4299.430117
-7.6151,35.9542,4278.117044
-3.4477,37.4049,4276.587542
-9.3941,34.7700,4267.2245
-3.4333,35.6354,4253.55294
-8.5206,32.0256,4222.095652
-10.5752,35.3843,4216.744
-3.2221,37.1323,4209.721169
-3.3190,35.7165,4208.748707
-3.3631,35.6150,4200.853945
-9.3887,34.7709,4200.533333
-9.1678,32.7145,4193.754493
-3.2221,37.1322,4182.577857
-8.5263,32.0247,4175.515826
-3.4474,37.4048,4154.894399
-3.3618,36.3224,4146.674034
-9.4064,34.8083,4141.4386
-8.2896,35.0136,4135.178032
-3.2312,37.0462,4133.082591
-10.4162,36.1456,4115.40176
-3.3207,35.7172,4111.669586
-3.7693,35.4851,4100.082927
-10.5439,35.3564,4084.169444
-3.2472,37.1226,4064.028284
-3.4379,35.6295,4061.255633
