Latitude,Longitude,Grain yield (kg/ha@12.5%)
-7.6064,35.9785,171.693837
-3.3662,36.3246,169.9477869
-10.4507,36.1219,169
-9.2932,34.6376,167.7902439
-10.4476,36.1739,158.6666667
-9.2973,34.6378,158.3333333
-10.4466,36.1735,150.5
-8.8769,32.9665,150.45
-10.4118,36.1432,148.5
-3.8443,35.4465,145.8272383
-9.3645,34.7804,144
-9.3931,34.7702,143.6372549
-10.4480,36.1783,140.8590909
-3.7723,35.4829,139.7741415
-8.8768,32.9664,138.375
-8.2727,35.0462,136.7724868
-10.4502,36.1216,135.1902778
-9.2979,34.6386,130.3333333
-4.2528,35.7081,130.0414158
-4.4726,35.5459,128.2088773
-7.6917,35.9875,123.9823982
-7.6070,35.9819,121.3454026
-10.4458,36.1716,120.3069444
-3.3504,36.3562,118.9217567
-4.2868,35.6778,116.9021144
-7.4601,35.7761,115.0363403
-10.4121,36.1433,114.6212121
-4.4717,35.5456,109.1377276
-3.8439,35.4461,107.0963378
-3.7099,37.5877,105.7979734
-9.1521,33.3198,105.6
-4.2564,35.7062,105.2073655
-4.3964,35.5504,104.2938968
-10.4055,36.1404,103.1111111
-4.2501,35.7071,102.6197277
-9.7287,34.7507,101.5625
-9.3931,34.7701,100.5714286
-4.2532,35.7088,96.17691731
-4.2471,35.7035,95.74794635
-10.4116,36.1431,95.33333333
-9.1519,33.3198,93.98636364
-4.2567,35.7059,93.83204721
-3.3827,36.9368,92.23529412
-9.4056,34.8084,91.97222222
-8.2937,35.0174,86.7727639
-4.4678,35.5509,86.12316137
-7.7657,31.1392,84
-10.4510,36.1223,82.35
-8.3403,35.0607,79.32609819
-7.6096,35.9795,78.45954413
-4.2499,35.7068,76.11301452
-9.4035,34.8066,72.57777778
-10.4471,36.1735,71.55555556
-9.2681,34.6010,71.42857143
-4.2890,35.6775,61.94192944
-8.3402,35.0607,70.01891949
-10.4053,36.1399,68.57142857
-9.4038,34.8064,68
-4.2875,35.6764,67.74525745
-4.2892,35.6780,59.86387267
-4.2887,35.6772,56.3236137
-8.2765,35.0516,54.6909941
-10.4452,36.1714,53.36
-3.8392,35.4445,53.18783405
